timestamp,oil_temp_c
2026-05-08 14:00:00,91.1842
,
2026-05-09 07:20:00,57.5467
2026-05-09 07:40:00,80.1733
2026-05-09 08:00:00,88.2242
2026-05-09 08:20:00,89.8176
,
2026-05-09 09:40:00,64.8576
2026-05-09 10:00:00,80.935
2026-05-09 10:20:00,88.1517
2026-05-09 10:40:00,90.6333
2026-05-09 11:00:00,91.0947
,
2026-05-09 11:20:00,74.6
2026-05-09 11:40:00,82.9042
2026-05-09 12:00:00,88.0055
,
2026-05-09 12:40:00,91.1467
2026-05-09 13:00:00,91.4817
2026-05-09 13:20:00,91.5108
,
2026-05-10 07:20:00,37.2611
2026-05-10 07:40:00,61.1225
2026-05-10 08:00:00,81.7425
2026-05-10 08:20:00,88.3042
2026-05-10 08:40:00,90.6325
2026-05-10 09:00:00,91.4683
2026-05-10 09:20:00,91.7057
,
2026-05-10 11:00:00,59.0288
2026-05-10 11:20:00,77.6292
2026-05-10 11:40:00,86.7367
2026-05-10 12:00:00,89.5759
,
2026-05-10 12:20:00,90.6
2026-05-10 12:40:00,91.2824
,
2026-05-10 13:00:00,92.0694
2026-05-10 13:20:00,92.05
2026-05-10 13:40:00,92.0857
,
2026-05-11 06:20:00,41.0639
2026-05-11 06:40:00,65.915
2026-05-11 07:00:00,83.0892
2026-05-11 07:20:00,89.075
2026-05-11 07:40:00,90.6758
2026-05-11 08:00:00,91.23
2026-05-11 08:20:00,91.8961
,
2026-05-11 10:40:00,47.1806
2026-05-11 11:00:00,68.0575
2026-05-11 11:20:00,84.4633
2026-05-11 11:40:00,88.9603
,
2026-05-11 12:20:00,92.8063
2026-05-11 12:40:00,92.7725
2026-05-11 13:00:00,92.2733
2026-05-11 13:20:00,92.1369
,
2026-05-12 07:40:00,49.7262
2026-05-12 08:00:00,74.8442
2026-05-12 08:20:00,86.1967
2026-05-12 08:40:00,88.8083
,
2026-05-12 10:20:00,62.3922
2026-05-12 10:40:00,81.1217
2026-05-12 11:00:00,88.475
2026-05-12 11:20:00,90.7299
,
2026-05-12 12:40:00,65.5528
2026-05-12 13:00:00,80.9076
,
2026-05-12 14:00:00,91.174
2026-05-12 14:20:00,91.6255
,
2026-05-13 07:40:00,38.3417
2026-05-13 08:00:00,60.8867
2026-05-13 08:20:00,81.2433
2026-05-13 08:40:00,87.7117
2026-05-13 09:00:00,90.2067
2026-05-13 09:20:00,91.345
2026-05-13 09:40:00,91.4369
,
2026-05-13 12:00:00,46.6263
2026-05-13 12:20:00,66.9342
2026-05-13 12:40:00,83.8592
2026-05-13 13:00:00,88.4395
,
2026-05-13 13:00:00,90.3846
2026-05-13 13:20:00,90.5692
,
2026-05-13 13:40:00,91.2467
2026-05-13 14:00:00,91.6325
2026-05-13 14:20:00,91.9548
,
2026-05-14 08:00:00,46.1431
2026-05-14 08:20:00,71.9142
2026-05-14 08:40:00,83.0646
,
2026-05-14 09:20:00,65.3216
2026-05-14 09:40:00,78.3375
2026-05-14 10:00:00,87.1475
2026-05-14 10:20:00,89.9553
,
2026-05-14 11:00:00,76.493
2026-05-14 11:20:00,83.9267
,
2026-05-14 12:20:00,91.1316
2026-05-14 12:40:00,91.3078
,
2026-05-15 06:40:00,48.8357
2026-05-15 07:00:00,74.3983
2026-05-15 07:20:00,86.2098
,
2026-05-15 08:00:00,64.05
2026-05-15 08:20:00,75.0317
2026-05-15 08:40:00,86.5108
2026-05-15 09:00:00,89.9835
,
2026-05-15 10:00:00,61.4829
2026-05-15 10:20:00,76.0375
2026-05-15 10:40:00,86.7325
2026-05-15 11:00:00,89.7525
,
2026-05-15 11:40:00,92.2514
2026-05-15 12:00:00,92.1333
2026-05-15 12:20:00,92.1718
,
2026-05-16 08:00:00,54.2343
2026-05-16 08:20:00,78.0875
2026-05-16 08:40:00,87.1692
2026-05-16 09:00:00,90.1192
2026-05-16 09:20:00,90.8905
,
2026-05-16 11:20:00,57.2753
2026-05-16 11:40:00,77.7
2026-05-16 12:00:00,85.8952
,
2026-05-16 12:40:00,90.9639
2026-05-16 13:00:00,91.4975
2026-05-16 13:20:00,91.85
,
2026-05-17 07:20:00,39.3833
2026-05-17 07:40:00,63.3775
2026-05-17 08:00:00,82.3017
2026-05-17 08:20:00,88.4183
2026-05-17 08:40:00,90.63
,
2026-05-17 09:40:00,63.7083
2026-05-17 10:00:00,76.5008
2026-05-17 10:20:00,86.6879
,
2026-05-17 11:20:00,91.5062
2026-05-17 11:40:00,91.8042
2026-05-17 12:00:00,91.8964
,
2026-05-18 08:20:00,44.975
2026-05-18 08:40:00,70.4533
2026-05-18 09:00:00,84.9217
2026-05-18 09:20:00,89.7148
,
2026-05-18 10:00:00,91.4463
2026-05-18 10:20:00,91.5975
2026-05-18 10:40:00,91.7925
2026-05-18 11:00:00,92.0842
2026-05-18 11:20:00,92.2433
2026-05-18 11:40:00,92.0908
2026-05-18 12:00:00,91.9579
,
2026-05-19 07:00:00,54.276
2026-05-19 07:20:00,77.4425
2026-05-19 07:40:00,87.2
2026-05-19 08:00:00,90.3383
2026-05-19 08:20:00,91.05
,
2026-05-19 09:00:00,91.5853
2026-05-19 09:20:00,91.53
2026-05-19 09:40:00,91.715
2026-05-19 10:00:00,91.9842
2026-05-19 10:20:00,92.01
2026-05-19 10:40:00,92.23
2026-05-19 11:00:00,92.0446
,
2026-05-20 07:20:00,47.1093
2026-05-20 07:40:00,70.5275
2026-05-20 08:00:00,84.51
2026-05-20 08:20:00,89.495
2026-05-20 08:40:00,91.1075
2026-05-20 09:00:00,91.7575
2026-05-20 09:20:00,92.018
,
2026-05-20 11:40:00,44.7364
2026-05-20 12:00:00,64.9058
2026-05-20 12:20:00,82.585
2026-05-20 12:40:00,88.3979
,
2026-05-20 13:40:00,91.361
2026-05-20 14:00:00,91.715
2026-05-20 14:20:00,91.9958
2026-05-20 14:40:00,92.2821
,
