timestamp,z_speed_kmh,z_rpm,z_coolant_c,z_engine_load_pct,z_oil_temp_c,z_runtime_min,z_throttle_pct,z_intake_air_c,z_maf_gps,z_fuel_rate_lph
2026-05-11 11:20:00,1.454284,1.402151,0.427615,-0.207997,0.199313,-0.517612,-0.184202,-0.667874,0.929082,0.882506
2026-05-11 11:40:00,0.636837,0.32219,0.397978,0.443341,0.510381,-0.27898,0.606898,-0.59257,0.217348,0.231084
,,,,,,,,,,
2026-05-11 12:20:00,0.759496,0.632969,0.457705,0.027819,0.776418,0.583767,0.156704,-0.570112,0.530636,0.553128
2026-05-11 12:40:00,-0.203197,0.247614,0.420166,-0.590147,0.77408,0.950893,-0.600709,-0.00747,-0.052955,-0.043057
2026-05-11 13:00:00,-0.213688,-0.946172,0.467826,-0.849012,0.739549,1.318019,-1.204303,1.043836,-0.63995,-0.509552
2026-05-11 13:20:00,0.15289,-0.294391,0.434739,-0.621185,0.730114,1.516879,-0.536818,-0.400143,-0.606343,-0.698564
,,,,,,,,,,
2026-05-12 07:40:00,0.552789,1.025904,-1.318329,0.291544,-2.203533,-1.089718,0.236391,-0.782306,0.775164,0.742604
2026-05-12 08:00:00,1.650755,0.991789,0.328778,-0.010509,-0.466062,-0.722592,0.103947,-0.793258,0.822494,0.773982
2026-05-12 08:20:00,0.210195,0.960333,0.38708,0.044228,0.319217,-0.355466,0.031674,-0.631624,0.660263,0.61115
2026-05-12 08:40:00,-0.817036,-0.537309,0.391993,-0.544841,0.499867,-0.318753,-0.334616,-0.679565,-0.833555,-0.877364
,,,,,,,,,,
2026-05-12 10:20:00,-0.234173,0.414044,-0.974551,0.216235,-1.327396,-1.034649,0.36687,-0.644494,0.207468,0.160344
2026-05-12 10:40:00,0.491951,1.165533,0.340157,-0.310662,-0.031833,-0.667523,-0.096029,-0.630997,0.672461,0.597132
2026-05-12 11:00:00,-0.825564,-0.567284,0.35817,0.225691,0.476812,-0.300397,0.325507,-0.587076,-0.40643,-0.412261
2026-05-12 11:20:00,0.916657,1.089834,0.37458,-0.440612,0.632789,-0.095417,-0.295218,-0.615435,0.62396,0.586827
,,,,,,,,,,
2026-05-12 12:40:00,-0.233073,0.354636,-1.016344,0.287478,-1.10877,-1.07442,0.281499,-0.571218,0.192972,0.157652
2026-05-12 13:00:00,0.938442,0.186205,0.367731,0.453254,-0.046643,-0.753185,0.539367,-0.677979,0.275393,0.298575
,,,,,,,,,,
2026-05-12 14:00:00,0.083573,0.613377,0.417533,0.578006,0.663508,0.394085,0.177189,-0.318607,0.777127,0.844072
2026-05-12 14:20:00,0.076353,0.158108,0.427143,-0.397736,0.694739,0.730617,-0.392115,-0.175337,0.127198,0.118939
,,,,,,,,,,
2026-05-13 07:40:00,-0.249941,0.324294,-4.005468,3.014091,-2.991026,-1.309994,2.795732,0.881575,1.40103,1.467458
2026-05-13 08:00:00,0.095793,0.877358,-0.309881,-0.203979,-1.431535,-0.942868,-0.118295,0.640027,0.482742,0.422045
2026-05-13 08:20:00,0.530569,0.974497,0.406488,0.169558,-0.023422,-0.575741,0.19825,0.555835,0.820405,0.814365
2026-05-13 08:40:00,-0.538558,-0.839797,0.438012,-1.004995,0.424013,-0.208615,-0.987536,1.224869,-1.067471,-1.080858
2026-05-13 09:00:00,0.011767,0.189312,0.472405,-0.239468,0.596598,0.158511,-0.251446,1.203959,0.250412,0.303309
2026-05-13 09:20:00,0.596442,1.646431,0.46135,0.099374,0.675337,0.525638,-0.037508,0.532787,1.422356,1.378801
2026-05-13 09:40:00,-0.683499,-0.778158,0.443505,-0.515319,0.681694,0.724499,-0.497735,1.465864,-0.645235,-0.620769
,,,,,,,,,,
2026-05-13 12:00:00,-0.522963,-0.254446,-3.499263,1.518332,-2.417961,-1.288578,1.512499,0.367575,0.076358,0.066766
2026-05-13 12:20:00,0.001794,0.849631,-0.128823,-0.170511,-1.013216,-0.921451,-0.00369,0.568447,0.50672,0.429008
2026-05-13 12:40:00,0.350468,1.065041,0.424991,0.349602,0.157526,-0.554325,0.320059,0.538023,1.019273,1.018045
