timestamp,speed_kmh,rpm,coolant_c,engine_load_pct,oil_temp_c,runtime_min,throttle_pct,intake_air_c,maf_gps,fuel_rate_lph
2026-05-10 13:00:00,30.1324,2327.0811,94.0928,34.6604,92.0694,132.0,16.6955,34.4955,18.8397,4.3642
2026-05-10 13:20:00,37.01,2531.9833,93.9383,35.575,92.05,152.0,17.8217,33.9908,21.4973,4.9963
2026-05-10 13:40:00,37.4607,2611.0357,93.7482,33.9473,92.0857,170.6667,16.4411,34.2205,20.2372,4.7096
,,,,,,,,,,
2026-05-11 06:20:00,37.0,2936.8889,61.9528,43.5167,41.0639,5.8333,24.0361,33.925,31.0211,7.2911
2026-05-11 06:40:00,52.7883,2763.9333,90.6125,34.7933,65.915,25.8333,16.0892,33.8508,21.9705,5.082
2026-05-11 07:00:00,22.3783,2116.875,94.14,31.3725,83.0892,45.8333,12.8992,36.96,17.3813,4.1747
2026-05-11 07:20:00,24.3875,2012.4667,94.0467,29.5567,89.075,65.8333,11.65,37.165,15.0988,3.6188
2026-05-11 07:40:00,18.5958,2038.1,94.2908,33.185,90.6758,85.8333,15.25,35.9092,15.7896,3.7523
2026-05-11 08:00:00,19.7858,1867.1917,94.1225,31.1125,91.23,105.8333,13.0475,36.5383,13.5693,3.2698
2026-05-11 08:20:00,19.0883,2050.987,93.8156,34.0091,91.8961,118.6667,16.3779,34.2325,15.4656,3.5931
,,,,,,,,,,
2026-05-11 10:40:00,22.6581,2377.871,59.4032,37.0935,47.1806,5.0,19.1774,34.2323,18.3997,4.2742
2026-05-11 11:00:00,10.03,1410.225,90.6067,28.7033,68.0575,25.0,9.5758,39.2417,10.884,2.7833
2026-05-11 11:20:00,49.5008,2789.6083,94.0875,33.225,84.4633,45.0,15.4492,33.7817,21.533,4.9682
2026-05-11 11:40:00,37.6808,2309.2308,93.7859,35.9321,88.9603,58.0,18.4692,33.9859,18.1255,4.2665
,,,,,,,,,,
2026-05-11 12:20:00,39.4544,2447.4684,94.3937,34.2051,92.8063,105.0,16.7506,34.0468,19.6254,4.6134
2026-05-11 12:40:00,25.5342,2276.0583,94.0117,31.6367,92.7725,125.0,13.8592,35.5725,16.8314,3.9712
2026-05-11 13:00:00,25.3825,1745.05,94.4967,30.5608,92.2733,145.0,11.555,38.4233,14.0211,3.4687
2026-05-11 13:20:00,30.6831,2034.9692,94.16,31.5077,92.1369,155.8333,14.1031,34.5077,14.182,3.2651
,,,,,,,,,,
2026-05-12 07:40:00,36.4655,2622.25,76.3202,35.3012,49.7262,13.8333,17.0548,33.4714,20.7961,4.8175
2026-05-12 08:00:00,52.3417,2607.075,93.0817,34.0458,74.8442,33.8333,16.5492,33.4417,21.0227,4.8513
2026-05-12 08:20:00,31.5117,2593.0833,93.675,34.2733,86.1967,53.8333,16.2733,33.88,20.246,4.6759
2026-05-12 08:40:00,16.6583,1926.9167,93.725,31.825,88.8083,55.8333,14.875,33.75,13.0942,3.0725
,,,,,,,,,,
2026-05-12 10:20:00,25.0863,2350.0882,79.8186,34.9882,62.3922,16.8333,17.5529,33.8451,18.0782,4.1903
2026-05-12 10:40:00,35.5858,2684.3583,93.1975,32.7983,81.1217,36.8333,15.7858,33.8817,20.3044,4.6608
2026-05-12 11:00:00,16.535,1913.5833,93.3808,35.0275,88.475,56.8333,17.395,34.0008,15.1391,3.5735
2026-05-12 11:20:00,41.7269,2650.6866,93.5478,32.2582,90.7299,68.0,15.0254,33.9239,20.0722,4.6497
,,,,,,,,,,
2026-05-12 12:40:00,25.1022,2323.6629,79.3933,35.2843,65.5528,14.6667,17.227,34.0438,18.0088,4.1874
2026-05-12 13:00:00,42.0419,2248.7429,93.4781,35.9733,80.9076,32.1667,18.2114,33.7543,18.4034,4.3392
,,,,,,,,,,
2026-05-12 14:00:00,29.6808,2438.7534,93.9849,36.4918,91.174,94.6667,16.8288,34.7288,20.8055,4.9268
2026-05-12 14:20:00,29.5764,2236.2455,94.0827,32.4364,91.6255,113.0,14.6555,35.1173,17.6939,4.1457
,,,,,,,,,,
2026-05-13 07:40:00,24.8583,2310.1667,48.975,46.6167,38.3417,1.8333,26.825,37.9833,23.7925,5.5983
2026-05-13 08:00:00,29.8575,2556.175,86.5825,33.2417,60.8867,21.8333,15.7008,37.3283,19.3961,4.4722
2026-05-13 08:20:00,36.1442,2599.3833,93.8725,34.7942,81.2433,41.8333,16.9092,37.1,21.0127,4.8948
2026-05-13 08:40:00,20.685,1792.3667,94.1933,29.9125,87.7117,61.8333,12.3825,38.9142,11.9743,2.8533
2026-05-13 09:00:00,28.6425,2250.125,94.5433,33.0942,90.2067,81.8333,15.1925,38.8575,18.2838,4.3443
2026-05-13 09:20:00,37.0967,2898.2667,94.4308,34.5025,91.345,101.8333,16.0092,37.0375,23.8946,5.5028
2026-05-13 09:40:00,18.5892,1819.7846,94.2492,31.9477,91.4369,112.6667,14.2523,39.5677,13.9958,3.3489
,,,,,,,,,,
2026-05-13 12:00:00,20.9105,2052.7368,54.1263,40.4,46.6263,3.0,21.9263,36.5895,17.4505,4.0895
2026-05-13 12:20:00,28.4983,2543.8417,88.425,33.3808,66.9342,23.0,16.1383,37.1342,19.5109,4.4797
2026-05-13 12:40:00,33.54,2639.6583,94.0608,35.5425,83.8592,43.0,17.3742,37.0517,21.9648,5.1142
2026-05-13 13:00:00,41.5744,2229.8837,94.2326,37.4744,88.4395,50.1667,20.2814,37.0256,18.2765,4.3093
,,,,,,,,,,
2026-05-13 13:00:00,54.5692,2504.9231,94.1923,46.7846,90.3846,63.0,23.5769,36.8769,24.5185,5.8854
2026-05-13 13:20:00,88.5,2085.0,94.4769,44.0692,90.5692,65.1667,21.3231,36.7154,19.7431,4.7377
,,,,,,,,,,
2026-05-13 13:40:00,5.7,1142.4333,94.42,28.3467,91.2467,103.0,9.2467,43.8933,7.6367,2.08
2026-05-13 14:00:00,45.5558,2600.5667,94.4533,36.9975,91.6325,123.0,17.6875,36.9308,22.4209,5.2477
2026-05-13 14:20:00,27.3113,1960.9739,94.3687,30.6243,91.9548,142.1667,13.073,38.7183,13.9736,3.2817
,,,,,,,,,,
2026-05-14 08:00:00,27.7056,2512.0556,72.8986,34.4306,46.1431,11.8333,16.8681,31.2153,19.4286,4.4883
2026-05-14 08:20:00,30.7317,2225.9083,92.5208,30.8792,71.9142,31.8333,13.3067,33.0733,16.5115,3.8832
2026-05-14 08:40:00,5.9585,1151.2923,93.6185,27.1031,83.0646,42.6667,8.3046,36.7631,6.9662,1.846
,,,,,,,,,,
2026-05-14 09:20:00,17.1135,1874.8378,72.3,38.7243,65.3216,6.0,20.3784,31.6054,15.5032,3.6757
2026-05-14 09:40:00,20.3142,1987.6833,91.6533,29.3367,78.3375,26.0,11.7017,33.985,14.6855,3.4954
2026-05-14 10:00:00,31.5183,2547.7833,93.7567,34.8,87.1475,46.0,17.1833,31.4683,20.7506,4.8513
2026-05-14 10:20:00,21.466,2150.8936,93.5064,31.8277,89.9553,61.6667,14.7713,32.2404,15.2644,3.5238
,,,,,,,,,,
2026-05-14 11:00:00,24.3326,2228.8605,84.2628,33.8384,76.493,14.1667,15.9674,32.4686,17.4581,4.1288
2026-05-14 11:20:00,35.93,2031.1833,93.39,36.485,83.9267,24.1667,18.3167,32.2617,16.6008,3.9698
,,,,,,,,,,
2026-05-14 12:20:00,10.7184,1539.0612,93.9857,30.0265,91.1316,94.1667,12.1398,34.5122,10.171,2.5026
