timestamp,speed_kmh
2026-05-15 09:00:00,48.8025
,
2026-05-15 10:00:00,12.6114
2026-05-15 10:20:00,27.2783
2026-05-15 10:40:00,30.615
2026-05-15 11:00:00,62.2902
,
2026-05-15 11:40:00,12.3892
2026-05-15 12:00:00,24.0583
2026-05-15 12:20:00,25.1923
,
2026-05-16 08:00:00,44.1315
2026-05-16 08:20:00,19.8475
2026-05-16 08:40:00,33.4683
2026-05-16 09:00:00,36.3467
2026-05-16 09:20:00,16.219
,
2026-05-16 11:20:00,17.5259
2026-05-16 11:40:00,20.3467
2026-05-16 12:00:00,42.0661
,
2026-05-16 12:40:00,30.088
2026-05-16 13:00:00,15.3025
2026-05-16 13:20:00,17.1615
,
2026-05-17 07:20:00,9.1125
2026-05-17 07:40:00,23.0958
2026-05-17 08:00:00,47.5908
2026-05-17 08:20:00,20.3658
2026-05-17 08:40:00,21.7358
,
2026-05-17 09:40:00,31.3583
2026-05-17 10:00:00,15.0
2026-05-17 10:20:00,28.7664
