timestamp,runtime_min
2026-05-08 14:00:00,110.3333
,
2026-05-09 07:20:00,19.8333
2026-05-09 07:40:00,39.8333
2026-05-09 08:00:00,59.8333
2026-05-09 08:20:00,62.6667
,
2026-05-09 09:40:00,14.0
2026-05-09 10:00:00,34.0
2026-05-09 10:20:00,54.0
2026-05-09 10:40:00,74.0
2026-05-09 11:00:00,77.1667
,
2026-05-09 11:20:00,5.6667
2026-05-09 11:40:00,25.6667
2026-05-09 12:00:00,34.8333
,
2026-05-09 12:40:00,85.6667
2026-05-09 13:00:00,105.6667
2026-05-09 13:20:00,121.1667
,
2026-05-10 07:20:00,2.8333
2026-05-10 07:40:00,22.8333
2026-05-10 08:00:00,42.8333
2026-05-10 08:20:00,62.8333
2026-05-10 08:40:00,82.8333
2026-05-10 09:00:00,102.8333
2026-05-10 09:20:00,108.6667
,
2026-05-10 11:00:00,12.0
2026-05-10 11:20:00,32.0
2026-05-10 11:40:00,52.0
2026-05-10 12:00:00,65.1667
,
2026-05-10 12:20:00,92.0
2026-05-10 12:40:00,97.6667
,
2026-05-10 13:00:00,132.0
2026-05-10 13:20:00,152.0
2026-05-10 13:40:00,170.6667
,
2026-05-11 06:20:00,5.8333
2026-05-11 06:40:00,25.8333
2026-05-11 07:00:00,45.8333
2026-05-11 07:20:00,65.8333
2026-05-11 07:40:00,85.8333
2026-05-11 08:00:00,105.8333
2026-05-11 08:20:00,118.6667
,
2026-05-11 10:40:00,5.0
2026-05-11 11:00:00,25.0
2026-05-11 11:20:00,45.0
2026-05-11 11:40:00,58.0
,
2026-05-11 12:20:00,105.0
2026-05-11 12:40:00,125.0
2026-05-11 13:00:00,145.0
2026-05-11 13:20:00,155.8333
,
2026-05-12 07:40:00,13.8333
2026-05-12 08:00:00,33.8333
2026-05-12 08:20:00,53.8333
2026-05-12 08:40:00,55.8333
,
2026-05-12 10:20:00,16.8333
2026-05-12 10:40:00,36.8333
2026-05-12 11:00:00,56.8333
2026-05-12 11:20:00,68.0
,
2026-05-12 12:40:00,14.6667
2026-05-12 13:00:00,32.1667
,
2026-05-12 14:00:00,94.6667
2026-05-12 14:20:00,113.0
,
2026-05-13 07:40:00,1.8333
2026-05-13 08:00:00,21.8333
2026-05-13 08:20:00,41.8333
2026-05-13 08:40:00,61.8333
2026-05-13 09:00:00,81.8333
2026-05-13 09:20:00,101.8333
2026-05-13 09:40:00,112.6667
,
2026-05-13 12:00:00,3.0
2026-05-13 12:20:00,23.0
2026-05-13 12:40:00,43.0
2026-05-13 13:00:00,50.1667
,
2026-05-13 13:00:00,63.0
2026-05-13 13:20:00,65.1667
,
2026-05-13 13:40:00,103.0
